Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2023	Hormone Activity (GO:0005179)	16/74	2.758673e-15	1.108987e-12	0	0	2.128032e+01	7.134022e+02	UCN;OXT;TRH;IGF1;AGT;POMC;GH1;PYY;GAL;VGF;NPY;LEP;PENK;PNOC;CRH;HCRT
GO_Molecular_Function_2023	Serotonin Receptor Activity (GO:0099589)	11/26	1.488879e-14	2.992646e-12	0	0	5.560359e+01	1.770316e+03	CHRM2;HTR7;HTR1D;HTR1A;HTR2C;HTR1B;HTR3A;HTR2A;HTR3B;HTR4;DRD4
GO_Molecular_Function_2023	Receptor Ligand Activity (GO:0048018)	27/319	3.563858e-14	4.775569e-12	0	0	7.365807e+00	2.280848e+02	APP;CNTF;GRN;NTS;TNF;DPP4;FGF20;TGFB1;BDNF;LIF;IL18;NRG1;IGF1;NGF;AGT;VEGFA;FGF17;POMC;IL1A;GH1;PYY;IL6;VGF;ARTN;LEP;IL1B;CRH
GO_Molecular_Function_2023	G Protein-Coupled Amine Receptor Activity (GO:0008227)	10/28	1.870608e-12	1.879961e-10	0	0	4.195615e+01	1.133016e+03	CHRM2;HTR7;TAAR6;HTR1D;HTR1A;HTR2C;HTR1B;HTR2A;HTR4;DRD4
GO_Molecular_Function_2023	G Protein-Coupled Serotonin Receptor Activity (GO:0004993)	9/21	3.437305e-12	2.524176e-10	0	0	5.644179e+01	1.489856e+03	CHRM2;HTR7;HTR1D;HTR1A;HTR1B;HTR2C;HTR2A;HTR4;DRD4
GO_Molecular_Function_2023	Transmitter-Gated Monoatomic Ion Channel Activity (GO:0022824)	11/40	3.767427e-12	2.524176e-10	0	0	2.874005e+01	7.559964e+02	GABRB3;GRIA1;GRIN2A;GABRA6;GRID1;GABRA3;GRIK3;HTR3A;HTR3B;GRIN2B;GRIA3
GO_Molecular_Function_2023	Transmitter-Gated Monoatomic Ion Channel Activity Involved In Regulation Of Postsynaptic Membrane Potential (GO:1904315)	10/34	1.740153e-11	9.993447e-10	0	0	3.145754e+01	7.793435e+02	GRIA1;GRIN2A;CHRNA2;CHRNB3;CHRNA4;GRID1;CHRNA6;GRIK3;GRIN2B;GRIA3
GO_Molecular_Function_2023	Neuropeptide Activity (GO:0160041)	9/26	3.443879e-11	1.538266e-09	0	0	3.983116e+01	9.596059e+02	UCN;PYY;GAL;NPY;PENK;PNOC;CRH;OXT;HCRT
GO_Molecular_Function_2023	Neuropeptide Hormone Activity (GO:0005184)	9/26	3.443879e-11	1.538266e-09	0	0	3.983116e+01	9.596059e+02	UCN;PYY;GAL;NPY;PENK;PNOC;CRH;OXT;HCRT
GO_Molecular_Function_2023	Growth Factor Activity (GO:0008083)	13/85	1.206499e-10	4.850128e-09	0	0	1.375651e+01	3.141730e+02	CNTF;GRN;TGFB1;BDNF;LIF;NRG1;NGF;VEGFA;FGF17;GH1;IL6;ARTN;FGF20
GO_Molecular_Function_2023	Postsynaptic Neurotransmitter Receptor Activity (GO:0098960)	7/19	3.402792e-09	1.243566e-07	0	0	4.356660e+01	8.494908e+02	GRIA1;CHRNA2;CHRNA4;CHRNA6;DRD1;GRM1;DRD4
GO_Molecular_Function_2023	Sodium:Chloride Symporter Activity (GO:0015378)	6/13	9.278778e-09	3.108391e-07	0	0	6.379084e+01	1.179846e+03	SLC6A1;SLC6A2;SLC18A1;SLC6A3;SLC18A2;SLC6A4
GO_Molecular_Function_2023	G Protein-Coupled Receptor Activity (GO:0004930)	17/250	5.925513e-08	1.832351e-06	0	0	5.600216e+00	9.319551e+01	TAAR6;OPRK1;OPRM1;GRPR;MCHR1;CRHR1;GRM1;CRHR2;HCRTR1;MC1R;CNR2;CNR1;NPY;DRD1;DRD2;DRD3;CMKLR1
GO_Molecular_Function_2023	G Protein-Coupled Peptide Receptor Activity (GO:0008528)	10/77	8.725203e-08	2.505380e-06	0	0	1.124378e+01	1.827616e+02	MC4R;NPSR1;OXTR;MC1R;OPRK1;GRPR;MCHR1;CRHR1;CRHR2;HCRTR1
GO_Molecular_Function_2023	Monoamine Transmembrane Transporter Activity (GO:0008504)	5/11	1.902662e-07	5.099134e-06	0	0	6.178885e+01	9.561726e+02	SLC6A2;SLC18A2;SLC29A3;SLC6A3;SLC6A4
GO_Molecular_Function_2023	Neurotransmitter Receptor Activity Involved In Regulation Of Postsynaptic Membrane Potential (GO:0099529)	6/21	2.678522e-07	6.729785e-06	0	0	2.975698e+01	4.503074e+02	GRIA1;GRIN2A;GRID1;GRIK3;GRIN2B;GRIA3
GO_Molecular_Function_2023	Neuropeptide Receptor Activity (GO:0008188)	7/36	4.629766e-07	1.094803e-05	0	0	1.801202e+01	2.627159e+02	NPSR1;GAL;GALR2;OPRM1;TACR1;GRPR;MCHR1
GO_Molecular_Function_2023	Ligand-Gated Monoatomic Cation Channel Activity (GO:0099094)	9/75	7.756262e-07	1.732232e-05	0	0	1.023404e+01	1.439888e+02	P2RX7;KCNJ6;CHRNB3;CHRNA2;CHRNA4;CHRNA6;GRIK3;HTR3A;HTR3B
GO_Molecular_Function_2023	Transcription Corepressor Binding (GO:0001222)	7/42	1.395963e-06	2.953563e-05	0	0	1.491970e+01	2.011463e+02	PER2;HDAC5;PER3;RORA;NR1D1;ESR1;HDAC6
GO_Molecular_Function_2023	cAMP Binding (GO:0030552)	4/11	1.009503e-05	2.029102e-04	0	0	4.220867e+01	4.855460e+02	PDE4D;PDE4B;PDE4A;HCN1
GO_Molecular_Function_2023	3',5'-cyclic-AMP Phosphodiesterase Activity (GO:0004115)	4/13	2.140937e-05	3.948525e-04	0	0	3.282563e+01	3.529308e+02	PDE1B;PDE4D;PDE4B;PDE4A
GO_Molecular_Function_2023	G Protein-Coupled Receptor Binding (GO:0001664)	10/140	2.160884e-05	3.948525e-04	0	0	5.776304e+00	6.205142e+01	POMC;PYY;SFRP1;HOMER1;PENK;PNOC;OXT;ARRB2;PDYN;NTS
GO_Molecular_Function_2023	Excitatory Extracellular Ligand-Gated Monoatomic Ion Channel Activity (GO:0005231)	5/26	2.293426e-05	4.008510e-04	0	0	1.764053e+01	1.884516e+02	P2RX7;CHRNA2;CHRNB3;CHRNA4;CHRNA6
GO_Molecular_Function_2023	Cytokine Activity (GO:0005125)	11/178	3.260110e-05	5.460685e-04	0	0	4.955827e+00	5.119946e+01	IL1A;CNTF;IL6;TGFB1;CXCL8;IL1B;LIF;IL18;NRG1;TNF;VEGFA
GO_Molecular_Function_2023	Interleukin-6 Receptor Binding (GO:0005138)	3/6	4.774369e-05	7.315885e-04	0	0	7.360448e+01	7.323398e+02	CNTF;IL6;IL6R
GO_Molecular_Function_2023	3',5'-Cyclic-Nucleotide Phosphodiesterase Activity (GO:0004114)	4/16	5.277628e-05	7.315885e-04	0	0	2.461548e+01	2.424489e+02	PDE1B;PDE4D;PDE4B;PDE4A
GO_Molecular_Function_2023	Acetylcholine-Gated Monoatomic Cation-Selective Channel Activity (GO:0022848)	4/16	5.277628e-05	7.315885e-04	0	0	2.461548e+01	2.424489e+02	CHRNA2;CHRNB3;CHRNA4;CHRNA6
GO_Molecular_Function_2023	Glutamate Receptor Activity (GO:0008066)	4/16	5.277628e-05	7.315885e-04	0	0	2.461548e+01	2.424489e+02	GRM7;GRID1;GRIK3;GRM1
GO_Molecular_Function_2023	Ionotropic Glutamate Receptor Activity (GO:0004970)	4/16	5.277628e-05	7.315885e-04	0	0	2.461548e+01	2.424489e+02	GRIN2A;GRIK3;GRIN2B;GRIA3
GO_Molecular_Function_2023	Transcription Regulatory Region Nucleic Acid Binding (GO:0001067)	12/224	5.835131e-05	7.819076e-04	0	0	4.265389e+00	4.158340e+01	PER2;HDAC5;PER3;STAT3;CRY2;NR1D1;BRCA1;BMAL1;TNF;ATF3;GABPA;ATF4
GO_Molecular_Function_2023	Cytokine Receptor Binding (GO:0005126)	8/100	6.501032e-05	8.430371e-04	0	0	6.492643e+00	6.259534e+01	GH1;CNTF;IL6;IL1B;LIF;IL18;IL6R;VEGFA
GO_Molecular_Function_2023	Neuropeptide Receptor Binding (GO:0071855)	4/17	6.828174e-05	8.577893e-04	0	0	2.272083e+01	2.179352e+02	PYY;GAL;NPY;NTS
GO_Molecular_Function_2023	Flavin Adenine Dinucleotide Binding (GO:0050660)	6/55	9.728444e-05	1.157754e-03	0	0	9.093570e+00	8.400523e+01	NOS2;NOS3;CRY2;CRY1;MTHFR;HCRT
