Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2021	neuron projection (GO:0043005)	71/556	7.253631e-49	1.421712e-46	0	0	1.408581e+01	1.561344e+03	GABRB3;CHRM2;APP;SNAP25;GSK3B;CNTF;GRIK3;HTR2C;HTR2A;SLC6A1;HTR4;COMT;SLC6A2;SLC6A3;SLC6A4;CRHBP;HTR7;PCLO;GRM7;STMN1;NEFM;CHRNB3;HTR3A;OPRM1;HTR3B;PDYN;NGF;ADCYAP1;CDH13;ATF4;GRIA1;TPH2;TPH1;CHRNA2;CHRNA4;CHRNA6;SLC1A1;CHAT;CAMK2A;HTT;ATP1A3;PSEN1;ADCY8;PTGS2;MCHR1;CRHR1;HDAC6;CRHR2;MAPK8;RELN;PENK;NCAM1;DRD2;DRD4;PRNP;NTRK2;HOMER1;GABRA6;WFS1;BDNF;GABRA3;HTR1D;DTNBP1;HTR1A;HTR1B;OPRK1;NR1D1;GRIN2B;TH;DLG4;PNOC
GO_Cellular_Component_2021	dendrite (GO:0030425)	40/270	7.251970e-30	7.106930e-28	0	0	1.468022e+01	9.849880e+02	CHRM2;GRIA1;GSK3B;CHRNA4;SLC1A1;GRIK3;HTT;HTR2C;HTR2A;HTR4;ADCY8;COMT;HDAC6;CRHR2;SGCE;CRHBP;MAPK8;HTR7;RELN;GRM7;PENK;DRD2;DRD4;PRNP;NTRK2;HOMER1;GABRA6;BDNF;WFS1;GABRA3;HTR1D;HTR1A;HTR1B;NR1D1;OPRM1;PDYN;NGF;SOD1;DLG4;PNOC
GO_Cellular_Component_2021	integral component of plasma membrane (GO:0005887)	78/1454	5.970297e-27	3.900594e-25	0	0	5.390461e+00	3.254922e+02	GABRB3;CHRM2;ALK;APP;OXTR;GRIK3;HTR2C;ATP2A2;AQP4;HTR2A;SLC6A1;GRPR;HTR4;SLC6A2;TNF;SLC6A3;GRM1;SLC6A4;SGCE;HTR7;GRM7;IL6R;SLC18A2;CMKLR1;CHRNB3;HTR3A;TACR1;OPRM1;HTR3B;ADRA2A;TNFRSF1A;SLCO1C1;FOLH1;NPSR1;CHRNA2;CHRNA4;GYPE;NRXN1;CHRNA6;SLC1A1;SLC1A2;ATP1A3;ADRB1;CACNA1C;PSEN1;ADCY8;ADCY7;MCHR1;CRHR1;ADCY5;CRHR2;GRIN2A;CNR2;GALR2;CNR1;DRD1;DRD2;DRD3;DRD4;NGFR;NTRK2;KCNJ6;GABRA6;GABRA3;HTR1D;M6PR;HTR1A;HTR1B;OPRK1;GRIN2B;HCRTR1;P2RX7;IL6;MC1R;KCNK2;FGFR2;FGFR1;HCN1
GO_Cellular_Component_2021	axon (GO:0030424)	23/204	6.747359e-15	3.306206e-13	0	0	1.001613e+01	3.268225e+02	APP;GSK3B;NTRK2;CNTF;BDNF;SLC1A1;GRIK3;DTNBP1;HTT;ATP1A3;OPRM1;SLC6A1;ADCY8;COMT;NGF;SLC6A3;HDAC6;MAPK8;PCLO;TH;GRM7;NEFM;DRD2
GO_Cellular_Component_2021	asymmetric synapse (GO:0032279)	13/133	3.272524e-08	1.282829e-06	0	0	8.233753e+00	1.419097e+02	GRIA1;PRNP;NTRK2;HOMER1;SLC1A1;DTNBP1;CACNA1C;ADCY8;GRIN2B;GRIN2A;GAP43;GRM7;DLG4
GO_Cellular_Component_2021	postsynaptic density (GO:0014069)	12/138	4.024020e-07	1.314513e-05	0	0	7.208310e+00	1.061482e+02	GRIA1;PRNP;NTRK2;GRIN2A;GAP43;HOMER1;DLG4;DTNBP1;CACNA1C;ADCY8;GRIN2B;GRM1
GO_Cellular_Component_2021	cation channel complex (GO:0034703)	9/73	6.138554e-07	1.718795e-05	0	0	1.055493e+01	1.509725e+02	GRIA1;GRIN2A;DLG4;PDE4D;HTR3A;HTR3B;GRIN2B;CALM2;GRIA3
GO_Cellular_Component_2021	ionotropic glutamate receptor complex (GO:0008328)	6/32	3.946907e-06	9.669923e-05	0	0	1.715791e+01	2.134886e+02	GRIA1;GRIN2A;DLG4;GRIK3;GRIN2B;GRIA3
GO_Cellular_Component_2021	membrane raft (GO:0045121)	11/163	1.436435e-05	3.128237e-04	0	0	5.449064e+00	6.076121e+01	APP;PRNP;SLC1A2;PSEN1;TNFRSF1B;ADCY8;TNF;SLC6A3;S100A10;SLC6A4;TNFRSF1A
GO_Cellular_Component_2021	neuron to neuron synapse (GO:0098984)	3/8	1.310155e-04	2.398704e-03	0	0	4.415821e+01	3.947830e+02	GRM7;SLC1A1;ATP1A3
