Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	chemical synaptic transmission (GO:0007268)	52/306	5.829185e-42	1.645579e-38	0	0	1.820552e+01	1.728535e+03	GABRB3;CHRM2;SNAP25;GRIK3;HTR2C;DBH;HTR2A;SLC6A1;HTR4;SLC6A2;GRM1;CRHBP;HTR7;GRM7;SLC18A2;CHRNB3;GRID1;HTR3A;HTR3B;PDYN;SYN1;CRH;GRIA1;CHRNA2;CHRNA4;NRXN1;CHRNA6;SLC1A1;CHAT;SLC1A2;CPLX1;ATXN3;GRIN2A;NPY;PENK;HCRT;DRD2;GRIA3;DRD4;HOMER1;GABRA6;GAD1;GABRA3;HTR1D;HTR1A;HTR1B;OPRK1;GRIN2B;HCRTR1;TH;DLG4;PNOC
GO_Biological_Process_2021	anterograde trans-synaptic signaling (GO:0098916)	46/244	3.034567e-39	4.283291e-36	0	0	2.016669e+01	1.788599e+03	GABRB3;CHRM2;GRIA1;SNAP25;CHRNA2;CHRNA4;NRXN1;CHRNA6;SLC1A1;SLC1A2;HTR2C;DBH;HTR2A;HTR4;SLC6A1;SLC6A2;CPLX1;GRM1;ATXN3;GRIN2A;HTR7;GRM7;NPY;PENK;HCRT;SLC18A2;DRD4;GRIA3;CHRNB3;HOMER1;GABRA6;GAD1;GABRA3;HTR1D;HTR1A;HTR1B;OPRK1;HTR3A;HTR3B;PDYN;GRIN2B;SYN1;HCRTR1;DLG4;PNOC;CRH
GO_Biological_Process_2021	adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	17/60	2.429095e-18	2.285779e-15	0	0	3.064109e+01	1.242772e+03	CHRM2;HTR1D;HTR1A;HTR1B;OPRK1;OPRM1;HTR4;ADCY8;ADCY7;MCHR1;ADRA2A;ADCY5;GRM7;RGS1;DRD2;DRD3;DRD4
GO_Biological_Process_2021	positive regulation of macromolecule metabolic process (GO:0010604)	33/384	2.671900e-17	1.885693e-14	0	0	7.654888e+00	2.921194e+02	APP;GSK3B;CNTF;CXCL8;BRCA1;PSEN1;ARRB2;TNF;MAPK8;FGF20;AKT1;DRD1;GABPA;MAP2K5;MAPK3;NTRK2;TGFB1;TLE1;WFS1;NOS3;STAT3;DTNBP1;IGF1;NGF;VEGFA;FGF17;P2RX7;AR;IL1A;GH1;IL6;IL1B;ATF4
GO_Biological_Process_2021	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)	16/65	2.963120e-16	1.672977e-13	0	0	2.520048e+01	9.010462e+02	CHRM2;HTR1D;HTR1A;HTR2C;HTR1B;HTR2A;OPRM1;HTR4;AGT;HTR7;MC1R;CNR2;CNR1;NPY;DRD1;DRD4
GO_Biological_Process_2021	modulation of chemical synaptic transmission (GO:0050804)	19/109	4.579505e-16	2.154657e-13	0	0	1.645243e+01	5.810959e+02	LGI1;APP;HOMER1;BDNF;GRID1;CAMK2A;GRIK3;CPLX2;NGF;TNF;CPLX1;GRM1;SYN1;RELN;GRM7;DLG4;IL1B;DRD2;HCRT
GO_Biological_Process_2021	phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	17/81	6.253196e-16	2.521825e-13	0	0	2.056502e+01	7.199458e+02	CHRM2;HOMER1;HTR2C;OPRK1;HTR2A;OPRM1;TACR1;GRPR;ESR1;GRM1;ADRA2A;AGT;GALR2;DRD1;DRD2;DRD3;CMKLR1
GO_Biological_Process_2021	negative regulation of inflammatory response (GO:0050728)	24/212	1.552113e-15	5.477019e-13	0	0	1.009958e+01	3.443871e+02	NPSR1;GRN;RORA;ADRB1;IGF1;NR1D1;HTR4;ADCY8;TNFRSF1B;ADCY7;CRHR1;CRHR2;ADCY5;TNFRSF1A;MC4R;NPS;POMC;ADCYAP1;IL6;HTR7;MC1R;CREB1;CRH;DRD1
GO_Biological_Process_2021	cellular response to organic cyclic compound (GO:0071407)	20/150	1.623007e-14	5.090831e-12	0	0	1.201287e+01	3.814316e+02	GABRB3;TGFB1;SLC1A1;IL18;ATP1A3;RORA;BRCA1;NR3C1;ADCY8;TNF;ESR1;ADCY5;P2RX7;CRHBP;AR;SFRP1;AANAT;IL1B;DRD1;HCN1
GO_Biological_Process_2021	positive regulation of gene expression (GO:0010628)	32/482	1.215921e-13	3.432546e-11	0	0	5.736197e+00	1.705836e+02	APP;GSK3B;CNTF;CXCL8;BRCA1;PSEN1;TNF;MAPK8;FGF20;AKT1;DRD1;GABPA;MAPK3;NTRK2;TGFB1;TLE1;NOS3;STAT3;DTNBP1;IGF1;NGF;AGT;ADRA2A;VEGFA;SOD1;FGF17;P2RX7;AR;IL1A;IL6;IL1B;ATF4
